Kota/Kabupaten,total_pembayaran,order_count,avg_shipping_cost,wilayah_clean,KODE_KK,KODE_PROV,KAB_KOTA,PROVINSI,FID,lat,lon
KAB. BELITUNG,1187474.0,19,39989.47368421053,belitung,19.02,19,Belitung,Kepulauan Bangka Belitung,19.02,-2.8675973082179147,107.71018081703328
KAB. BELITUNG TIMUR,226992.0,5,33900.0,belitung timur,19.06,19,Belitung Timur,Kepulauan Bangka Belitung,19.06,-2.908459130776851,108.04817900105442
KAB. BENER MERIAH,35400.0,3,30400.0,bener meriah,11.17,11,Bener Meriah,Aceh,11.17,4.770053737528966,97.00411795378746
KAB. BENGKALIS,778743.0,22,40627.318181818184,bengkalis,14.03,14,Bengkalis,Riau,14.03,1.4119064602392088,101.64286133086598
KAB. BENGKAYANG,287282.0,8,46887.5,bengkayang,61.07,61,Bengkayang,Kalimantan Barat,61.07,1.0119529327336794,109.57839986716704
KAB. BENGKULU SELATAN,145625.0,5,17900.0,bengkulu selatan,17.01,17,Bengkulu Selatan,Bengkulu,17.01,-4.348397241799775,103.02116098778819
KAB. BENGKULU TENGAH,30800.0,1,12900.0,bengkulu tengah,17.09,17,Bengkulu Tengah,Bengkulu,17.09,-3.6852212484574807,102.40435657069702
KAB. BENGKULU UTARA,833247.0,13,30838.53846153846,bengkulu utara,17.03,17,Bengkulu Utara,Bengkulu,17.03,-3.418828362061289,102.00188239850586
KAB. BERAU,610064.0,9,70344.44444444444,berau,64.03,64,Berau,Kalimantan Timur,64.03,1.912495108016287,117.340172809786
KAB. BIMA,269883.0,5,35880.0,bima,52.06,52,Bima,Nusa Tenggara Barat,52.06,-8.474806634586558,118.61901683996795
KAB. BIMA,269883.0,5,35880.0,bima,52.72,52,Kota Bima,Nusa Tenggara Barat,52.72,-8.454868239311509,118.78210646267961
KAB. BINTAN,0.0,1,45100.0,bintan,21.01,21,Bintan,Kepulauan Riau,21.01,1.0076251973672685,104.70381106177761
KAB. BIREUEN,111175.0,6,27916.666666666668,bireuen,11.11,11,Bireuen,Aceh,11.11,5.093825519125926,96.60703509738832
KAB. BLITAR,1470859.0,43,14583.720930232557,blitar,35.05,35,Blitar,Jawa Timur,35.05,-8.131013589049383,112.23721629241231
KAB. BLITAR,1470859.0,43,14583.720930232557,blitar,35.72,35,Kota Blitar,Jawa Timur,35.72,-8.094766733588562,112.16697121030957
KAB. BLORA,1826138.0,24,18845.833333333332,blora,33.16,33,Blora,Jawa Tengah,33.16,-7.074438334030851,111.38743501290968
KAB. BOALEMO,34499.0,2,13000.0,boalemo,75.02,75,Boalemo,Gorontalo,75.02,0.6529067801603299,122.32708525080768
KAB. BOGOR,54563790.0,1117,10252.762757385855,bogor,32.71,32,Kota Bogor,Jawa Barat,32.71,-6.593489394559189,106.79935624589578
KAB. BOGOR,54563790.0,1117,10252.762757385855,bogor,32.01,32,Bogor,Jawa Barat,32.01,-6.559797485177805,106.76704664807382
KAB. BOJONEGORO,1425491.0,37,18237.837837837837,bojonegoro,35.22,35,Bojonegoro,Jawa Timur,35.22,-7.255575904187288,111.80986997599292
KAB. BOLAANG MONGONDOW SELATAN,72500.0,2,60250.0,bolaang mongondow selatan,71.11,71,Bolaang Mongondow Selatan,Sulawesi Utara,71.11,0.44430205507640574,123.93249738536541
KAB. BOLAANG MONGONDOW UTARA,0.0,2,63750.0,bolaang mongondow utara,71.08,71,Bolaang Mongondow Utara,Sulawesi Utara,71.08,0.7676355284440584,123.47647751427522
KAB. BOMBANA,175160.0,1,82500.0,bombana,74.06,74,Bombana,Sulawesi Tenggara,74.06,-4.800873597712238,121.85239830645577
KAB. BONDOWOSO,632685.0,19,16052.631578947368,bondowoso,35.11,35,Bondowoso,Jawa Timur,35.11,-7.943685821862881,113.94769821165173
KAB. BONE,826514.0,18,46177.77777777778,bone,73.08,73,Bone,Sulawesi Selatan,73.08,-4.694991058871681,120.13004773201281
KAB. BONE BOLANGO,442065.0,9,62400.0,bone bolango,75.03,75,Bone Bolango,Gorontalo,75.03,0.5323677826400077,123.29231311944123
KAB. BOYOLALI,1775704.0,27,16100.0,boyolali,33.09,33,Boyolali,Jawa Tengah,33.09,-7.416522443474168,110.65249878357052
KAB. BREBES,3003206.0,77,14033.766233766233,brebes,33.29,33,Brebes,Jawa Tengah,33.29,-7.062772051177144,108.9295264813003
KAB. BULELENG,1007615.0,20,33715.0,buleleng,51.08,51,Buleleng,Bali,51.08,-8.200953233757712,114.96090883725358
KAB. BULUKUMBA,538719.0,14,43278.57142857143,bulukumba,73.02,73,Bulukumba,Sulawesi Selatan,73.02,-5.431450402414011,120.23432620358827
KAB. BUNGO,808595.0,20,34090.0,bungo,15.08,15,Bungo,Jambi,15.08,-1.5915799676315296,101.92711314159662
KAB. BUOL,381586.0,4,64350.0,buol,72.05,72,Buol,Sulawesi Tengah,72.05,0.9788792732951607,121.38845045787284
KAB. CIAMIS,1810582.0,61,15073.754098360656,ciamis,32.07,32,Ciamis,Jawa Barat,32.07,-7.290249924239066,108.4286452356923
KAB. CIANJUR,3439977.0,107,12755.140186915887,cianjur,32.03,32,Cianjur,Jawa Barat,32.03,-7.130889287640548,107.15920189007396
KAB. CILACAP,5450298.0,90,18118.88888888889,cilacap,33.01,33,Cilacap,Jawa Tengah,33.01,-7.488927289661374,108.88983867506934
KAB. CIREBON,3565114.0,118,12421.186440677966,cirebon,32.74,32,Kota Cirebon,Jawa Barat,32.74,-6.741718862608382,108.55330571917212
KAB. CIREBON,3565114.0,118,12421.186440677966,cirebon,32.09,32,Cirebon,Jawa Barat,32.09,-6.746221280645243,108.55215665975352
KAB. DAIRI,89000.0,5,28100.0,dairi,12.11,12,Dairi,Sumatera Utara,12.11,2.84050704393419,98.27921338418693
KAB. DELI SERDANG,4051066.0,27,45951.851851851854,deli serdang,12.07,12,Deli Serdang,Sumatera Utara,12.07,3.4803374772942335,98.69483263066925
KAB. DEMAK,957819.0,43,15081.39534883721,demak,33.21,33,Demak,Jawa Tengah,33.21,-6.910774098266779,110.63400470824774
KAB. DHARMASRAYA,880938.0,14,35500.07142857143,dharmasraya,13.10,13,Dharmasraya,Sumatera Barat,13.10,-1.1312305916722876,101.55722214345168
KAB. DOMPU,131440.0,6,39600.0,dompu,52.05,52,Dompu,Nusa Tenggara Barat,52.05,-8.472224492895634,118.21686473283746
KAB. EMPAT LAWANG,57000.0,2,25350.0,empat lawang,16.11,16,Empat Lawang,Sumatera Selatan,16.11,-3.7514890106874383,102.94800046283338
KAB. ENDE,72656.0,1,63900.0,ende,53.08,53,Ende,Nusa Tenggara Timur,53.08,-8.676358558597316,121.73543853444535
KAB. ENREKANG,92580.0,4,38000.0,enrekang,73.16,73,Enrekang,Sulawesi Selatan,73.16,-3.503854367519297,119.87457716350454
KAB. GARUT,3605846.0,144,14400.0,garut,32.05,32,Garut,Jawa Barat,32.05,-7.359447415168939,107.78793765040881
KAB. GAYO LUES,18999.0,1,22000.0,gayo lues,11.13,11,Gayo Lues,Aceh,11.13,3.982693635027864,97.3600863628459
KAB. GIANYAR,880140.0,11,31690.909090909092,gianyar,51.04,51,Gianyar,Bali,51.04,-8.480973213465129,115.28748508459638
KAB. GORONTALO,771254.0,20,39070.0,gorontalo,75.01,75,Gorontalo,Gorontalo,75.01,0.692899344663683,122.71251784120766
KAB. GORONTALO,771254.0,20,39070.0,gorontalo,75.71,75,Kota Gorontalo,Gorontalo,75.71,0.5384085410485823,123.05530113287764
KAB. GORONTALO UTARA,128000.0,1,103000.0,gorontalo utara,75.05,75,Gorontalo Utara,Gorontalo,75.05,0.8855708707330001,122.66454589554688
KAB. GOWA,252280.0,4,48275.0,gowa,73.06,73,Gowa,Sulawesi Selatan,73.06,-5.30890445456153,119.71872022683047
KAB. GRESIK,21825566.0,63,32974.60317460317,gresik,35.25,35,Gresik,Jawa Timur,35.25,-6.926256532379119,112.55864603415674
KAB. GROBOGAN,730182.0,21,13357.142857142857,grobogan,33.15,33,Grobogan,Jawa Tengah,33.15,-7.117636869063814,110.9271776600075
KAB. HALMAHERA TENGAH,0.0,1,112500.0,halmahera tengah,82.02,82,Halmahera Tengah,Maluku Utara,82.02,0.4018697383627932,128.29530738769515
KAB. HALMAHERA TIMUR,166240.0,1,110000.0,halmahera timur,82.06,82,Halmahera Timur,Maluku Utara,82.06,1.0294778424119895,128.30863629503943
KAB. HULU SUNGAI SELATAN,174725.0,4,47100.25,hulu sungai selatan,63.06,63,Hulu Sungai Selatan,Kalimantan Selatan,63.06,-2.7292167628214576,115.20550739190587
KAB. HULU SUNGAI TENGAH,475500.0,8,31500.0,hulu sungai tengah,63.07,63,Hulu Sungai Tengah,Kalimantan Selatan,63.07,-2.6093699170346696,115.47865770823132
KAB. HULU SUNGAI UTARA,180840.0,3,30666.666666666668,hulu sungai utara,63.08,63,Hulu Sungai Utara,Kalimantan Selatan,63.08,-2.4392620353529773,115.15127089151474
KAB. HUMBANG HASUNDUTAN,93818.0,4,28000.0,humbang hasundutan,12.16,12,Humbang Hasundutan,Sumatera Utara,12.16,2.2611646489918096,98.57771266101689
KAB. INDRAGIRI HILIR,1858101.0,36,34416.666666666664,indragiri hilir,14.04,14,Indragiri Hilir,Riau,14.04,-0.23344038798239397,103.16381105606116
KAB. INDRAGIRI HULU,351780.0,11,28200.0,indragiri hulu,14.02,14,Indragiri Hulu,Riau,14.02,-0.5414319419170658,102.33188541796656
KAB. INDRAMAYU,4305052.0,115,13210.434782608696,indramayu,32.12,32,Indramayu,Jawa Barat,32.12,-6.447487543500628,108.16902667211414
KAB. JAYAWIJAYA,165000.0,1,115000.0,jayawijaya,91.02,91,Jayawijaya,Papua Pegunungan,91.02,-4.093457440434582,138.8667623518055
KAB. JEMBER,2422289.0,70,13957.142857142857,jember,35.09,35,Jember,Jawa Timur,35.09,-8.235136386877537,113.65595199685843
KAB. JEMBRANA,532227.0,15,34633.333333333336,jembrana,51.01,51,Jembrana,Bali,51.01,-8.313122688039869,114.68288681225219
KAB. JENEPONTO,23000.0,2,50250.0,jeneponto,73.04,73,Jeneponto,Sulawesi Selatan,73.04,-5.567027149905216,119.6988799492488
KAB. JEPARA,5007868.0,57,20394.736842105263,jepara,33.20,33,Jepara,Jawa Tengah,33.20,-6.549003458965627,110.76812946108183
KAB. JOMBANG,866701.0,29,15603.448275862069,jombang,35.17,35,Jombang,Jawa Timur,35.17,-7.5446348897217845,112.2640849775733
KAB. KAMPAR,1224107.0,26,36637.96153846154,kampar,14.01,14,Kampar,Riau,14.01,0.3213944832892549,101.06575454365561
KAB. KAPUAS,252108.0,8,44087.5,kapuas,62.03,62,Kapuas,Kalimantan Tengah,62.03,-1.7633755450527826,114.3027283555538
KAB. KAPUAS HULU,329773.0,7,45514.28571428572,kapuas hulu,61.06,61,Kapuas Hulu,Kalimantan Barat,61.06,0.8256013629526517,112.803550384562
KAB. KARANGANYAR,1785784.0,19,21057.894736842107,karanganyar,33.13,33,Karanganyar,Jawa Tengah,33.13,-7.61414203614716,111.0192467571834
KAB. KARANGASEM,199650.0,6,34083.333333333336,karangasem,51.07,51,Karangasem,Bali,51.07,-8.374266195349913,115.52989196240102
KAB. KARAWANG,15099450.0,410,11241.985365853658,karawang,32.15,32,Karawang,Jawa Barat,32.15,-6.252282718291983,107.35429211538856
