Kota/Kabupaten,total_pembayaran,order_count,avg_shipping_cost,wilayah_clean,KODE_KK,KODE_PROV,KAB_KOTA,PROVINSI,FID,lat,lon
KAB. MANDAILING NATAL,1446510.0,19,41578.94736842105,mandailing natal,12.13,12,Mandailing Natal,Sumatera Utara,12.13,0.7763978727688372,99.3686717364676
KAB. MANGGARAI BARAT,219000.0,2,522350.0,manggarai barat,53.15,53,Manggarai Barat,Nusa Tenggara Timur,53.15,-8.602716731923502,119.98854525873456
KAB. MAROS,105820.0,6,31000.0,maros,73.09,73,Maros,Sulawesi Selatan,73.09,-4.999674016064293,119.72630843963803
KAB. MELAWI,81000.0,3,32466.666666666668,melawi,61.10,61,Melawi,Kalimantan Barat,61.10,-0.6304366772283837,111.72459705795963
KAB. MERANGIN,2050643.0,39,35000.0,merangin,15.02,15,Merangin,Jambi,15.02,-2.193116201660262,102.06833784146083
KAB. MESUJI,110209.0,4,17725.0,mesuji,18.11,18,Mesuji,Lampung,18.11,-4.0248419851945565,105.37837457590142
KAB. MINAHASA,25024.0,2,43100.0,minahasa,71.02,71,Minahasa,Sulawesi Utara,71.02,1.2500305141288193,124.8581126375923
KAB. MINAHASA SELATAN,743970.0,5,102300.0,minahasa selatan,71.05,71,Minahasa Selatan,Sulawesi Utara,71.05,1.084971283769238,124.51890029180855
KAB. MINAHASA TENGGARA,259504.0,4,58300.0,minahasa tenggara,71.07,71,Minahasa Tenggara,Sulawesi Utara,71.07,1.0121994191987034,124.71665253723965
KAB. MINAHASA UTARA,0.0,2,245750.0,minahasa utara,71.06,71,Minahasa Utara,Sulawesi Utara,71.06,1.548092226801692,125.00529466134427
KAB. MOJOKERTO,865282.0,38,13357.894736842105,mojokerto,35.16,35,Mojokerto,Jawa Timur,35.16,-7.550691753478534,112.48443825625331
KAB. MOJOKERTO,865282.0,38,13357.894736842105,mojokerto,35.76,35,Kota Mojokerto,Jawa Timur,35.76,-7.471389237201706,112.43750790627276
KAB. MOROWALI,1178818.0,22,49909.09090909091,morowali,72.06,72,Morowali,Sulawesi Tengah,72.06,-2.7159395238523705,121.92366902427042
KAB. MOROWALI UTARA,278107.0,4,44225.0,morowali utara,72.12,72,Morowali Utara,Sulawesi Tengah,72.12,-1.8270220586981396,121.39605853455957
KAB. MUARA ENIM,1257104.0,26,30711.53846153846,muara enim,16.03,16,Muara Enim,Sumatera Selatan,16.03,-3.6350562042420234,103.99781859337168
KAB. MUARO JAMBI,550977.0,18,34911.11111111111,muaro jambi,15.05,15,Muaro Jambi,Jambi,15.05,-1.6132999323825017,103.7378231458242
KAB. MUKO MUKO,655624.0,15,39000.0,muko muko,17.06,17,Muko Muko,Bengkulu,17.06,-2.6903158367828075,101.48189529743729
KAB. MUNA,94808.0,1,53200.0,muna,74.03,74,Muna,Sulawesi Tenggara,74.03,-4.944657307889749,122.62960442048563
KAB. MURUNG RAYA,315958.0,6,61500.0,murung raya,62.12,62,Murung Raya,Kalimantan Tengah,62.12,-0.031786795093296856,114.26232837269812
KAB. MUSI BANYUASIN,2982564.0,65,35810.06153846154,musi banyuasin,16.06,16,Musi Banyuasin,Sumatera Selatan,16.06,-2.4502899663911597,103.82783465152428
KAB. MUSI RAWAS,954296.0,26,27196.153846153848,musi rawas,16.05,16,Musi Rawas,Sumatera Selatan,16.05,-3.1653972729718935,103.13654937561938
KAB. MUSI RAWAS UTARA,139964.0,6,30333.333333333332,musi rawas utara,16.13,16,Musi Rawas Utara,Sumatera Selatan,16.13,-2.7401701357900436,102.74375243273613
KAB. NAGAN RAYA,1113002.0,6,67916.66666666667,nagan raya,11.15,11,Nagan Raya,Aceh,11.15,4.164239641271212,96.50768629468321
KAB. NATUNA,313370.0,3,41666.666666666664,natuna,21.03,21,Natuna,Kepulauan Riau,21.03,3.782118982018811,108.26033971735221
KAB. NGADA,114920.0,1,68500.0,ngada,53.09,53,Ngada,Nusa Tenggara Timur,53.09,-8.664544007344361,121.00156828856927
KAB. NGANJUK,1574834.0,27,15174.074074074075,nganjuk,35.18,35,Nganjuk,Jawa Timur,35.18,-7.597495579407229,111.93854620713505
KAB. NGAWI,1297787.0,30,16700.0,ngawi,35.21,35,Ngawi,Jawa Timur,35.21,-7.438824403789768,111.34341383305365
KAB. NIAS SELATAN,195433.0,4,36774.5,nias selatan,12.14,12,Nias Selatan,Sumatera Utara,12.14,0.329311151803298,98.09889773044927
KAB. NIAS UTARA,339500.0,1,176400.0,nias utara,12.24,12,Nias Utara,Sumatera Utara,12.24,1.3149605689336212,97.35540287251116
KAB. NUNUKAN,74000.0,1,52500.0,nunukan,65.03,65,Nunukan,Kalimantan Utara,65.03,4.009177924112725,116.64285776281172
KAB. OGAN ILIR,388473.0,12,26400.0,ogan ilir,16.10,16,Ogan Ilir,Sumatera Selatan,16.10,-3.415293618197851,104.60531386224262
KAB. OGAN KOMERING ILIR,1092168.0,33,28936.363636363636,ogan komering ilir,16.02,16,Ogan Komering Ilir,Sumatera Selatan,16.02,-3.3637135240062084,105.39730965467828
KAB. OGAN KOMERING ULU,1017512.0,25,27128.28,ogan komering ulu,16.01,16,Ogan Komering Ulu,Sumatera Selatan,16.01,-4.093734721043083,104.10521210733846
KAB. OGAN KOMERING ULU SELATAN,452651.0,10,31420.0,ogan komering ulu selatan,16.09,16,Ogan Komering Ulu Selatan,Sumatera Selatan,16.09,-4.588940185398581,103.91014103625669
KAB. OGAN KOMERING ULU TIMUR,922156.0,25,30124.24,ogan komering ulu timur,16.08,16,Ogan Komering Ulu Timur,Sumatera Selatan,16.08,-4.074311352736141,104.56698887279222
KAB. PACITAN,1559808.0,27,18470.37037037037,pacitan,35.01,35,Pacitan,Jawa Timur,35.01,-8.124952119722925,111.17808563915823
KAB. PADANG LAWAS,357498.0,10,29780.0,padang lawas,12.21,12,Padang Lawas,Sumatera Utara,12.21,1.142254456156046,99.85120544315338
KAB. PADANG LAWAS UTARA,19485.0,2,17000.0,padang lawas utara,12.20,12,Padang Lawas Utara,Sumatera Utara,12.20,1.590900912488325,99.7629592289695
KAB. PADANG PARIAMAN,275031.0,10,30170.0,padang pariaman,13.05,13,Padang Pariaman,Sumatera Barat,13.05,-0.5649971661468755,100.2279323946779
KAB. PAMEKASAN,717708.0,35,14142.857142857143,pamekasan,35.28,35,Pamekasan,Jawa Timur,35.28,-7.0652238932025515,113.50404665530036
KAB. PANDEGLANG,2413235.0,84,11841.666666666666,pandeglang,36.01,36,Pandeglang,Banten,36.01,-6.590233346870855,105.74297025291288
KAB. PANGANDARAN,688266.0,21,14304.761904761905,pangandaran,32.18,32,Pangandaran,Jawa Barat,32.18,-7.635641122171049,108.51859098993197
KAB. PANGKAJENE KEPULAUAN,0.0,3,46433.333333333336,pangkajene kepulauan,73.10,73,Pangkajene Kepulauan,Sulawesi Selatan,73.10,-4.938526381464743,119.47967739210058
KAB. PARIGI MOUTONG,64960.0,3,68666.66666666667,parigi moutong,72.08,72,Parigi Moutong,Sulawesi Tengah,72.08,0.016925634782032982,120.44905763442054
KAB. PASAMAN,450548.0,11,31118.18181818182,pasaman,13.08,13,Pasaman,Sumatera Barat,13.08,0.39261729783649185,100.08722090735779
KAB. PASAMAN BARAT,640283.0,21,28933.333333333332,pasaman barat,13.12,13,Pasaman Barat,Sumatera Barat,13.12,0.2034513248650207,99.68550250059064
KAB. PASER,248594.0,7,58328.57142857143,paser,64.01,64,Paser,Kalimantan Timur,64.01,-1.7410647117891436,116.09205650464716
KAB. PASURUAN,2645974.0,67,19452.238805970148,pasuruan,35.75,35,Kota Pasuruan,Jawa Timur,35.75,-7.649572436724351,112.9100046421644
KAB. PASURUAN,2645974.0,67,19452.238805970148,pasuruan,35.14,35,Pasuruan,Jawa Timur,35.14,-7.742430912509359,112.83184410169154
KAB. PATI,1926586.0,37,16810.81081081081,pati,33.18,33,Pati,Jawa Tengah,33.18,-6.743327254090564,111.04228281322551
KAB. PEKALONGAN,1026999.0,34,12102.941176470587,pekalongan,33.75,33,Kota Pekalongan,Jawa Tengah,33.75,-6.89340868223896,109.67715508608772
KAB. PEKALONGAN,1026999.0,34,12102.941176470587,pekalongan,33.26,33,Pekalongan,Jawa Tengah,33.26,-7.057005515868323,109.62050061295855
KAB. PELALAWAN,595274.0,12,40808.416666666664,pelalawan,14.05,14,Pelalawan,Riau,14.05,0.2175088684754938,102.28038767792829
KAB. PEMALANG,1277038.0,45,16254.933333333332,pemalang,33.27,33,Pemalang,Jawa Tengah,33.27,-7.036804246068938,109.39517261664157
KAB. PENAJAM PASER UTARA,60000.0,3,25000.0,penajam paser utara,64.09,64,Penajam Paser Utara,Kalimantan Timur,64.09,-1.1589416466844433,116.59114421343014
KAB. PENUKAL ABAB LEMATANG ILIR,293578.0,8,26075.0,penukal abab lematang ilir,16.12,16,Penukal Abab Lematang Ilir,Sumatera Selatan,16.12,-3.2009762701697135,103.99497526416916
KAB. PESAWARAN,251560.0,8,27987.5,pesawaran,18.09,18,Pesawaran,Lampung,18.09,-5.473484303708584,105.1151924227139
KAB. PESISIR BARAT,140699.0,8,24325.0,pesisir barat,18.13,18,Pesisir Barat,Lampung,18.13,-5.335530555303785,104.16283965329774
KAB. PESISIR SELATAN,586804.0,19,30305.263157894737,pesisir selatan,13.01,13,Pesisir Selatan,Sumatera Barat,13.01,-1.7382766750882006,100.87925591357893
KAB. PIDIE,48320.0,4,38250.0,pidie,11.07,11,Pidie,Aceh,11.07,5.05355578901906,96.03342837397622
KAB. PIDIE JAYA,158128.0,5,31500.0,pidie jaya,11.18,11,Pidie Jaya,Aceh,11.18,5.124744338936802,96.21333121948685
KAB. PINRANG,612281.0,7,43165.71428571428,pinrang,73.15,73,Pinrang,Sulawesi Selatan,73.15,-3.6280861856819864,119.60257187015318
KAB. POHUWATO,101880.0,2,51500.0,pohuwato,75.04,75,Pohuwato,Gorontalo,75.04,0.6882848005584976,121.70978211930604
KAB. POLEWALI MANDAR,0.0,2,53350.0,polewali mandar,76.04,76,Polewali Mandar,Sulawesi Barat,76.04,-3.310092673074837,119.14714996948278
KAB. PONOROGO,1296956.0,27,14714.814814814816,ponorogo,35.02,35,Ponorogo,Jawa Timur,35.02,-7.931327949449443,111.49953043167699
KAB. PONTIANAK,142896.0,7,26571.428571428572,pontianak,61.71,61,Kota Pontianak,Kalimantan Barat,61.71,-0.025780638412396716,109.33169746904854
KAB. POSO,387541.0,6,68833.16666666667,poso,72.02,72,Poso,Sulawesi Tengah,72.02,-1.67837608959961,120.53372247242648
KAB. PRINGSEWU,854658.0,16,23006.3125,pringsewu,18.10,18,Pringsewu,Lampung,18.10,-5.3363609110843475,104.93340516987747
KAB. PROBOLINGGO,2481664.0,39,18569.23076923077,probolinggo,35.74,35,Kota Probolinggo,Jawa Timur,35.74,-7.773810528649351,113.20546894160476
KAB. PROBOLINGGO,2481664.0,39,18569.23076923077,probolinggo,35.13,35,Probolinggo,Jawa Timur,35.13,-7.866411109818226,113.32023406482635
KAB. PULANG PISAU,282544.0,7,59428.57142857143,pulang pisau,62.11,62,Pulang Pisau,Kalimantan Tengah,62.11,-2.6908594382298427,113.96757574005495
KAB. PURBALINGGA,827425.0,30,15966.666666666666,purbalingga,33.03,33,Purbalingga,Jawa Tengah,33.03,-7.323229861981867,109.40720469770119
KAB. PURWAKARTA,5047191.0,94,16024.468085106382,purwakarta,32.14,32,Purwakarta,Jawa Barat,32.14,-6.595259676105102,107.4307759940531
KAB. PURWOREJO,1344580.0,26,15457.692307692309,purworejo,33.06,33,Purworejo,Jawa Tengah,33.06,-7.700380551889834,109.96612571431886
KAB. REJANG LEBONG,966375.0,14,35592.857142857145,rejang lebong,17.02,17,Rejang Lebong,Bengkulu,17.02,-3.43045483554119,102.70204516675844
KAB. REMBANG,389858.0,14,15507.142857142857,rembang,33.17,33,Rembang,Jawa Tengah,33.17,-6.775133538473285,111.46151952053359
KAB. ROKAN HILIR,1242413.0,25,33700.0,rokan hilir,14.07,14,Rokan Hilir,Riau,14.07,1.773127263698296,100.74919104835121
KAB. ROKAN HULU,817215.0,18,28070.833333333332,rokan hulu,14.06,14,Rokan Hulu,Riau,14.06,0.9430253250727054,100.50535633513329
KAB. ROTE NDAO,142200.0,1,67700.0,rote ndao,53.14,53,Rote Ndao,Nusa Tenggara Timur,53.14,-10.725959995074668,123.12444836805105
KAB. SAMBAS,923398.0,16,36481.25,sambas,61.01,61,Sambas,Kalimantan Barat,61.01,1.4230857823614649,109.34956822007952
KAB. SAMOSIR,191686.0,5,75400.0,samosir,12.17,12,Samosir,Sumatera Utara,12.17,2.5622823543598385,98.72895995108942
KAB. SAMPANG,1401005.0,32,23237.5,sampang,35.27,35,Sampang,Jawa Timur,35.27,-7.052024464114554,113.25634302532592
KAB. SANGGAU,1400838.0,18,41500.0,sanggau,61.03,61,Sanggau,Kalimantan Barat,61.03,0.2686810965861169,110.43072660297169
KAB. SAROLANGUN,1221489.0,26,34157.692307692305,sarolangun,15.03,15,Sarolangun,Jambi,15.03,-2.3062600655167436,102.67254936954708
KAB. SEKADAU,305810.0,7,38285.71428571428,sekadau,61.09,61,Sekadau,Kalimantan Barat,61.09,-0.01713673936242183,110.94892649828677
KAB. SELUMA,193426.0,6,28716.666666666668,seluma,17.05,17,Seluma,Bengkulu,17.05,-4.052006756196003,102.65951397282358
KAB. SEMARANG,1038232.0,32,13715.625,semarang,33.22,33,Semarang,Jawa Tengah,33.22,-7.2708990936455935,110.47350771475793
KAB. SEMARANG,1038232.0,32,13715.625,semarang,33.74,33,Kota Semarang,Jawa Tengah,33.74,-7.023898605371644,110.39152263164601
KAB. SERANG,6115078.0,154,13542.558441558442,serang,36.04,36,Serang,Banten,36.04,-6.14173811781962,106.14607560844507
KAB. SERANG,6115078.0,154,13542.558441558442,serang,36.73,36,Kota Serang,Banten,36.73,-6.123323587632104,106.166750570897
KAB. SERDANG BEDAGAI,206942.0,7,26185.714285714286,serdang bedagai,12.18,12,Serdang Bedagai,Sumatera Utara,12.18,3.3662576773739157,99.05770815539994
KAB. SERUYAN,479901.0,7,62457.142857142855,seruyan,62.07,62,Seruyan,Kalimantan Tengah,62.07,-2.257238224229255,112.198650028928
KAB. SIAK,513101.0,14,31800.0,siak,14.08,14,Siak,Riau,14.08,0.8170147895028261,101.87542601374719
KAB. SIDOARJO,2824204.0,95,13677.894736842105,sidoarjo,35.15,35,Sidoarjo,Jawa Timur,35.15,-7.451472833873365,112.70030279082415
KAB. SIKKA,96200.0,1,84000.0,sikka,53.07,53,Sikka,Nusa Tenggara Timur,53.07,-8.609344971707753,122.30665497468944
KAB. SIMALUNGUN,535734.0,14,33692.857142857145,simalungun,12.08,12,Simalungun,Sumatera Utara,12.08,2.969696736837558,99.0215583957899
KAB. SIMEULUE,63100.0,4,37050.0,simeulue,11.09,11,Simeulue,Aceh,11.09,2.6128279748448406,96.08626027990323
KAB. SINJAI,0.0,2,112500.0,sinjai,73.07,73,Sinjai,Sulawesi Selatan,73.07,-5.209283365939879,120.13541509172092
KAB. SINTANG,67000.0,1,40000.0,sintang,61.05,61,Sintang,Kalimantan Barat,61.05,0.09259557503946508,112.05439324666607
KAB. SITUBONDO,735833.0,19,17952.63157894737,situbondo,35.12,35,Situbondo,Jawa Timur,35.12,-7.80143853004398,114.05136405329907
KAB. SLEMAN,4169184.0,109,19795.4128440367,sleman,34.04,34,Sleman,Daerah Istimewa Yogyakarta,34.04,-7.71646352703971,110.38321299279538
KAB. SOLOK,399734.0,12,43708.333333333336,solok,13.72,13,Kota Solok,Sumatera Barat,13.72,-0.7828670008157551,100.62986603667574
KAB. SOLOK,399734.0,12,43708.333333333336,solok,13.02,13,Solok,Sumatera Barat,13.02,-0.9835702519764626,100.84128447570609
KAB. SOLOK SELATAN,224598.0,3,31100.0,solok selatan,13.11,13,Solok Selatan,Sumatera Barat,13.11,-1.423591691040205,101.26767927206672
KAB. SOPPENG,185000.0,4,42500.0,soppeng,73.12,73,Soppeng,Sulawesi Selatan,73.12,-4.337042875097487,119.89337854603154
KAB. SRAGEN,1405645.0,25,19440.0,sragen,33.14,33,Sragen,Jawa Tengah,33.14,-7.385336820876112,110.97414413328123
KAB. SUBANG,6621196.0,132,20946.21212121212,subang,32.13,32,Subang,Jawa Barat,32.13,-6.484642989620874,107.73183253449345
KAB. SUKABUMI,7828596.0,210,13445.233333333334,sukabumi,32.02,32,Sukabumi,Jawa Barat,32.02,-7.076318269660438,106.70756920024003
KAB. SUKABUMI,7828596.0,210,13445.233333333334,sukabumi,32.72,32,Kota Sukabumi,Jawa Barat,32.72,-6.939938819985031,106.92435699624795
KAB. SUKAMARA,267700.0,4,56100.0,sukamara,62.08,62,Sukamara,Kalimantan Tengah,62.08,-2.604348754002948,111.15957390975841
KAB. SUKOHARJO,689674.0,26,18307.69230769231,sukoharjo,33.11,33,Sukoharjo,Jawa Tengah,33.11,-7.680843499991166,110.8348369454648
KAB. SUMBA BARAT,110890.0,1,61000.0,sumba barat,53.12,53,Sumba Barat,Nusa Tenggara Timur,53.12,-9.641422259316812,119.3833826777772
KAB. SUMBA TIMUR,88360.0,2,68500.0,sumba timur,53.11,53,Sumba Timur,Nusa Tenggara Timur,53.11,-9.877804207778881,120.2547683848027
KAB. SUMBAWA,174620.0,12,59633.333333333336,sumbawa,52.04,52,Sumbawa,Nusa Tenggara Barat,52.04,-8.70329812260532,117.48426111078243
KAB. SUMBAWA BARAT,524678.0,8,38012.5,sumbawa barat,52.07,52,Sumbawa Barat,Nusa Tenggara Barat,52.07,-8.830288146957715,116.91442832770187
KAB. SUMEDANG,1386960.0,69,12721.144927536232,sumedang,32.11,32,Sumedang,Jawa Barat,32.11,-6.824748018404171,107.98127183158981
KAB. SUMENEP,1237759.0,32,15109.375,sumenep,35.29,35,Sumenep,Jawa Timur,35.29,-6.966307060952111,114.40313360685501
KAB. TABALONG,585100.0,8,37000.0,tabalong,63.09,63,Tabalong,Kalimantan Selatan,63.09,-1.8619462509951632,115.50006464866429
KAB. TABANAN,4285748.0,10,51496.2,tabanan,51.02,51,Tabanan,Bali,51.02,-8.430231084614661,115.07827426553573
KAB. TAKALAR,32200.0,3,37500.0,takalar,73.05,73,Takalar,Sulawesi Selatan,73.05,-5.418454518923195,119.47414660013325
KAB. TANA TORAJA,132625.0,2,33500.0,tana toraja,73.18,73,Tana Toraja,Sulawesi Selatan,73.18,-3.1156062208045023,119.71162993561391
KAB. TANAH BUMBU,701195.0,17,46588.23529411765,tanah bumbu,63.10,63,Tanah Bumbu,Kalimantan Selatan,63.10,-3.4397127509163887,115.64713995778305
KAB. TANAH DATAR,396390.0,11,24363.727272727272,tanah datar,13.04,13,Tanah Datar,Sumatera Barat,13.04,-0.46764896039693693,100.58406134831394
KAB. TANAH LAUT,464111.0,15,26873.333333333332,tanah laut,63.01,63,Tanah Laut,Kalimantan Selatan,63.01,-3.819225291313974,114.90532554999537
KAB. TANGERANG,56263709.0,1047,12825.716332378224,tangerang,36.71,36,Kota Tangerang,Banten,36.71,-6.18437110906753,106.65199394460666
KAB. TANGERANG,56263709.0,1047,12825.716332378224,tangerang,36.03,36,Tangerang,Banten,36.03,-6.1744645987129605,106.51892886778404
KAB. TANGGAMUS,831969.0,13,27976.923076923078,tanggamus,18.06,18,Tanggamus,Lampung,18.06,-5.428085829167919,104.67406094293888
KAB. TANJUNG JABUNG BARAT,622421.0,22,34259.09090909091,tanjung jabung barat,15.06,15,Tanjung Jabung Barat,Jambi,15.06,-1.0712911912079657,103.11457459115408
KAB. TANJUNG JABUNG TIMUR,537596.0,16,29000.0,tanjung jabung timur,15.07,15,Tanjung Jabung Timur,Jambi,15.07,-1.2253734859052512,103.9652937975354
KAB. TAPANULI SELATAN,206342.0,7,25142.85714285714,tapanuli selatan,12.03,12,Tapanuli Selatan,Sumatera Utara,12.03,1.5006198551702559,99.2669575782014
KAB. TAPANULI TENGAH,156300.0,3,34000.0,tapanuli tengah,12.01,12,Tapanuli Tengah,Sumatera Utara,12.01,1.835979956743956,98.65371518885308
KAB. TAPANULI UTARA,48500.0,2,47750.0,tapanuli utara,12.02,12,Tapanuli Utara,Sumatera Utara,12.02,2.0011912339935303,99.06507731611347
KAB. TAPIN,204000.0,5,30300.0,tapin,63.05,63,Tapin,Kalimantan Selatan,63.05,-2.9216204998754938,115.04512934911104
KAB. TASIKMALAYA,1724072.0,71,15835.211267605633,tasikmalaya,32.78,32,Kota Tasikmalaya,Jawa Barat,32.78,-7.3605265931451225,108.21912255643048
KAB. TASIKMALAYA,1724072.0,71,15835.211267605633,tasikmalaya,32.06,32,Tasikmalaya,Jawa Barat,32.06,-7.496735850654323,108.14156672107875
KAB. TEBO,1079293.0,23,27521.739130434784,tebo,15.09,15,Tebo,Jambi,15.09,-1.3075639168419446,102.36429282483458
KAB. TEGAL,6061594.0,70,14745.714285714286,tegal,33.76,33,Kota Tegal,Jawa Tengah,33.76,-6.869174558926782,109.11574708742408
KAB. TEGAL,6061594.0,70,14745.714285714286,tegal,33.28,33,Tegal,Jawa Tengah,33.28,-7.028775498368181,109.15851536344728
KAB. TEMANGGUNG,854392.0,25,16541.4,temanggung,33.23,33,Temanggung,Jawa Tengah,33.23,-7.257697521960033,110.13630232355591
KAB. TIMOR TENGAH UTARA,83000.0,1,60000.0,timor tengah utara,53.03,53,Timor Tengah Utara,Nusa Tenggara Timur,53.03,-9.37769900633099,124.56982690915716
KAB. TORAJA UTARA,14500.0,3,19000.0,toraja utara,73.26,73,Toraja Utara,Sulawesi Selatan,73.26,-2.8796217484834736,119.8642601245899
KAB. TRENGGALEK,280929.0,15,12966.666666666666,trenggalek,35.03,35,Trenggalek,Jawa Timur,35.03,-8.160655712374883,111.62732146474856
KAB. TUBAN,1060623.0,35,15574.285714285714,tuban,35.23,35,Tuban,Jawa Timur,35.23,-6.953412968679368,111.89224221209807
KAB. TULANG BAWANG,1160123.0,24,31313.708333333332,tulang bawang,18.05,18,Tulang Bawang,Lampung,18.05,-4.373165939862982,105.52759124605524
KAB. TULANG BAWANG BARAT,346965.0,7,25714.285714285714,tulang bawang barat,18.12,18,Tulang Bawang Barat,Lampung,18.12,-4.425704117446925,105.08743965885442
KAB. TULUNGAGUNG,751634.0,26,14800.0,tulungagung,35.04,35,Tulungagung,Jawa Timur,35.04,-8.113471029349732,111.88772275128605
KAB. WAJO,2706994.0,49,36320.4081632653,wajo,73.13,73,Wajo,Sulawesi Selatan,73.13,-3.9918265286122927,120.17283440737408
KAB. WAKATOBI,338531.0,2,268000.0,wakatobi,74.07,74,Wakatobi,Sulawesi Tenggara,74.07,-5.5712467531075465,123.78541247674224
KAB. WAY KANAN,842282.0,17,35624.882352941175,way kanan,18.08,18,Way Kanan,Lampung,18.08,-4.514283477707059,104.60616277008855
KAB. WONOGIRI,824357.0,19,14815.78947368421,wonogiri,33.12,33,Wonogiri,Jawa Tengah,33.12,-7.919287916112877,110.99921075172803
KAB. WONOSOBO,761029.0,22,15022.727272727272,wonosobo,33.07,33,Wonosobo,Jawa Tengah,33.07,-7.416302371539499,109.9073549445444
KOTA AMBON,2241295.0,20,77465.0,ambon,81.71,81,Kota Ambon,Maluku,81.71,-3.6853566310422146,128.19497709150843
KOTA BALIKPAPAN,2735668.0,37,49995.37837837838,balikpapan,64.71,64,Kota Balikpapan,Kalimantan Timur,64.71,-1.1566657989949787,116.87229050894598
KOTA BANDA ACEH,1868661.0,36,30205.583333333332,banda aceh,11.71,11,Kota Banda Aceh,Aceh,11.71,5.558704403909693,95.3277134583369
KOTA BANDAR LAMPUNG,7033906.0,181,20732.044198895026,bandar lampung,18.71,18,Kota Bandar Lampung,Lampung,18.71,-5.41419718001972,105.26213192732321
KOTA BANDUNG,18323605.0,399,11567.433583959899,bandung,32.04,32,Bandung,Jawa Barat,32.04,-7.0975880233324755,107.60872729833476
KOTA BANDUNG,18323605.0,399,11567.433583959899,bandung,32.73,32,Kota Bandung,Jawa Barat,32.73,-6.919241381152638,107.63660062704719
KOTA BANJAR,258180.0,13,14523.076923076924,banjar,32.79,32,Kota Banjar,Jawa Barat,32.79,-7.376988749932354,108.56720461752244
KOTA BANJAR,258180.0,13,14523.076923076924,banjar,63.03,63,Banjar,Kalimantan Selatan,63.03,-3.320489160814727,115.07991110673105
KOTA BANJARBARU,2890265.0,14,76835.71428571429,banjarbaru,63.72,63,Kota Banjarbaru,Kalimantan Selatan,63.72,-3.4747673377752717,114.79117548117834
KOTA BANJARMASIN,611142.0,21,38023.80952380953,banjarmasin,63.71,63,Kota Banjarmasin,Kalimantan Selatan,63.71,-3.329121479619704,114.59179868502449
KOTA BATAM,1204669.0,26,50615.38461538462,batam,21.71,21,Kota Batam,Kepulauan Riau,21.71,0.9630012322126266,104.06355730853564
KOTA BATU,289824.0,7,15857.142857142857,batu,35.79,35,Kota Batu,Jawa Timur,35.79,-7.834673797630639,112.53375557409497
KOTA BEKASI,20593609.0,573,9727.050610820244,bekasi,32.16,32,Bekasi,Jawa Barat,32.16,-6.219747307682568,107.12171204227535
KOTA BEKASI,20593609.0,573,9727.050610820244,bekasi,32.75,32,Kota Bekasi,Jawa Barat,32.75,-6.280833552766811,106.97536610721495
KOTA BENGKULU,1958530.0,62,28825.709677419356,bengkulu,17.71,17,Kota Bengkulu,Bengkulu,17.71,-3.841396877976354,102.30815765387136
KOTA BIMA,99600.0,4,39275.0,bima,52.06,52,Bima,Nusa Tenggara Barat,52.06,-8.474806634586558,118.61901683996795
KOTA BIMA,99600.0,4,39275.0,bima,52.72,52,Kota Bima,Nusa Tenggara Barat,52.72,-8.454868239311509,118.78210646267961
KOTA BINJAI,189200.0,4,45000.0,binjai,12.75,12,Kota Binjai,Sumatera Utara,12.75,3.600227013952984,98.48921935291355
KOTA BLITAR,249620.0,7,39571.42857142857,blitar,35.05,35,Blitar,Jawa Timur,35.05,-8.131013589049383,112.23721629241231
KOTA BLITAR,249620.0,7,39571.42857142857,blitar,35.72,35,Kota Blitar,Jawa Timur,35.72,-8.094766733588562,112.16697121030957
KOTA BOGOR,7587980.0,222,10163.963963963964,bogor,32.71,32,Kota Bogor,Jawa Barat,32.71,-6.593489394559189,106.79935624589578
KOTA BOGOR,7587980.0,222,10163.963963963964,bogor,32.01,32,Bogor,Jawa Barat,32.01,-6.559797485177805,106.76704664807382
KOTA BONTANG,425617.0,7,54000.0,bontang,64.74,64,Kota Bontang,Kalimantan Timur,64.74,0.09326488030871466,117.45806814329586
KOTA BUKITTINGGI,267885.0,7,38557.142857142855,bukittinggi,13.75,13,Kota Bukittinggi,Sumatera Barat,13.75,-0.2995833927447485,100.37253702329838
KOTA CILEGON,11293402.0,124,11154.862903225807,cilegon,36.72,36,Kota Cilegon,Banten,36.72,-5.998895625695469,106.01849218043158
KOTA CIMAHI,4166196.0,76,14000.013157894737,cimahi,32.77,32,Kota Cimahi,Jawa Barat,32.77,-6.886318982943015,107.54289593467628
KOTA CIREBON,955620.0,39,9292.307692307691,cirebon,32.74,32,Kota Cirebon,Jawa Barat,32.74,-6.741718862608382,108.55330571917212
KOTA CIREBON,955620.0,39,9292.307692307691,cirebon,32.09,32,Cirebon,Jawa Barat,32.09,-6.746221280645243,108.55215665975352
KOTA DENPASAR,9690756.0,82,33664.939024390245,denpasar,51.71,51,Kota Denpasar,Bali,51.71,-8.668356081689616,115.22081629209895
KOTA DEPOK,27220970.0,549,11501.817850637522,depok,32.76,32,Kota Depok,Jawa Barat,32.76,-6.39620397210999,106.8168366286003
KOTA DUMAI,851674.0,18,35777.77777777778,dumai,14.72,14,Kota Dumai,Riau,14.72,1.8207559200876573,101.28228692076115
KOTA GORONTALO,444636.0,12,30516.666666666668,gorontalo,75.01,75,Gorontalo,Gorontalo,75.01,0.692899344663683,122.71251784120766
